link,title,price,category,transaction_type,surface_area,num_bathrooms,num_bedrooms,gouvernement
https://www.tayara.tn/item/6682ca6b9b82ea14d25a9f24/Terrains%20et%20Fermes/Sfax/Route_SOKRA/_vendre_terrain_749_m_R2_Route_Soukra_km_1/,À vendre terrain 749 m² R+2 à Route Soukra km 1,400000,Terrains et Fermes,N/A,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/66eedab3b3c14db342d49ef9/Terrains%20et%20Fermes/Sfax/Route_de_laroport/_vendre_terrain_610m_cltur_Titre_foncier_Route_Matar_km_5zanket_masmoudi/,"À vendre terrain 610m² clôturé Titre foncier à Route Matar km 5,zanket masmoudi",120000,Terrains et Fermes,N/A,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/6731c1c40d8480a1e00b291d/Terrains%20et%20Fermes/Sfax/Route_Tunis/_vendre_terrain_1018m_R4_Route_Tunis_Km_75_/,À vendre terrain 1018m² R+4 à Route Tunis Km 7.5(زنقة بن حمادو),400000,Terrains et Fermes,N/A,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/66c5d335860508809c01a8fc/Terrains%20et%20Fermes/Sfax/Route_El_Ain/_vendre_terrain_341m_Route_el_Ain_km_3_/,À vendre terrain 341m²à Route el Ain km 3 (زنقة النوري),140000,Terrains et Fermes,N/A,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/67472ac03c20a99fb55a5de4/Maisons%20et%20Villas/Sfax/Route_TANIOUR/_vendre_2_maisons_indpendantes_Route_Teniour_km_55_/,À vendre 2 maisons indépendantes à Route Teniour km 5.5,450000,Maisons et Villas,À Vendre,512,1,3,Sfax
https://www.tayara.tn/item/675b21518729cead59ebfeac/Appartements/Sfax/Route_TANIOUR/APPARTEMENT_MEUBL_LOUER_/,APPARTEMENT MEUBLÉ Â LOUER,900,Appartements,À Louer,85,1,3,Sfax
https://www.tayara.tn/item/675b0c218729cead59ebee67/Appartements/Sfax/Sfax_Mdina/A_LOUER_A_SFAX_CENTRE_STUDIO_MEUBLE/,A LOUER - A SFAX CENTRE - STUDIO MEUBLE,N/A,Appartements,À Louer,N/A,1,1,Sfax
https://www.tayara.tn/item/675af96f8729cead59ebdd9c/Magasins%2C%20Commerces%20et%20Locaux%20industriels/Sfax/Route_Tunis/Usine_louer_6263m_titre_foncier_Route_Tunis_km_11_prs_du_rond_point_Sfax/,Usine à louer 6263m² titre foncier à Route Tunis km 11 près du rond point (Sfax),10000,"Magasins, Commerces et Locaux industriels",À Louer,6263,N/A,N/A,Sfax
https://www.tayara.tn/item/675ad0f0b5e4ab395e78dcb9/Terrains%20et%20Fermes/Sfax/Agareb/A_vendre_un_terrain_de_3_hectare_a_agereb_el_mahrouga/,A vendre un terrain de 3 hectare a agereb el mahrouga,75,Terrains et Fermes,N/A,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/675ac51eb5e4ab395e78d314/Colocations/Sfax/Sfax_Ville/Bureau_de_cadre_professionnel/,Bureau de cadre professionnel,230,Colocations,N/A,70,1,3,Sfax
