gouvernement,category,num_bedrooms,num_bathrooms,surface_area,transaction_type,date,price
"Sousse, Sahloul",Appartements,3,2,147,À Vendre,8 février 2020,325000
"Sousse, Kantaoui",Appartements,4,4,220,À Louer,8 février 2020,2300
"Sousse, Kantaoui",Appartements,1,1,63,À Vendre,8 février 2020,155000
"Sousse, Kantaoui",Appartements,2,1,134,À Vendre,8 février 2020,260000
"Sousse, Hammam Sousse",Appartements,2,1,150,À Louer,8 février 2020,900
"Sousse, Kantaoui",Appartements,3,3,150,À Vendre,8 février 2020,320000
"Sousse, Kantaoui",Appartements,1,1,65,À Vendre,8 février 2020,140000
"Sousse, Kantaoui",Appartements,2,1,100,À Louer,8 février 2020,800
"Sousse, Kantaoui",Appartements,1,1,66,À Vendre,8 février 2020,240000
"Sousse, Sahloul",Appartements,3,1,160,À Louer,8 février 2020,950
"Sousse, Kantaoui",Appartements,2,1,100,À Louer,8 février 2020,1000
"Sousse, Kantaoui",Appartements,2,1,80,À Vendre,8 février 2020,135000
"Sousse, Kantaoui",Appartements,1,1,52,À Louer,8 février 2020,450
"Sousse, Kantaoui",Appartements,1,1,75,À Louer,8 février 2020,900
"Sousse, Sousse Riadh",Maisons et Villas,1,1,1,À Vendre,8 février 2020,0
"Sousse, Sousse Jawhara",Appartements,2,1,100,À Louer,8 février 2020,450
"Sousse, Sousse Jawhara",Maisons et Villas,2,1,100,À Louer,8 février 2020,550
"Sousse, Kalaâ Kebira",Terrains et Fermes,,,,,8 février 2020,70
"Sousse, Autres villes",Terrains et Fermes,,,,,8 février 2020,0
"Sousse, Autres villes",Appartements,1,1,60,À Louer,8 février 2020,750
"Sousse, Kantaoui",Locations de vacances,1,1,77,À Louer,8 février 2020,70
"Sousse, Autres villes",Locations de vacances,2,1,102,À Louer,8 février 2020,70
"Sousse, Autres villes",Locations de vacances,2,1,95,À Louer,8 février 2020,60
"Sousse, Kantaoui",Locations de vacances,1,1,77,À Louer,8 février 2020,70
"Sousse, Autres villes",Locations de vacances,1,1,71,À Louer,8 février 2020,60
"Sousse, Autres villes",Locations de vacances,2,1,75,À Louer,8 février 2020,60
"Sousse, Sousse Médina",Maisons et Villas,10,4,75,À Vendre,8 février 2020,350000
"Sousse, Autres villes",Terrains et Fermes,,,,,8 février 2020,0
"Sousse, M'saken",Terrains et Fermes,,,,,7 février 2020,0
"Sousse, Sousse","Magasins, Commerces et Locaux industriels",1,1,450,À Louer,7 février 2020,2000
"Sousse, Autres villes",Maisons et Villas,1,1,50,À Louer,7 février 2020,200
"Sousse, Akouda",Maisons et Villas,4,1,1,À Vendre,7 février 2020,0
"Sousse, Bouficha",Terrains et Fermes,,,,,7 février 2020,0
"Sousse, Bouficha",Terrains et Fermes,,,,,7 février 2020,450000
"Sousse, Bouficha",Terrains et Fermes,,,,,7 février 2020,2000000
"Sousse, Bouficha",Terrains et Fermes,,,,,7 février 2020,0
"Sousse, Sousse",Appartements,2,1,70,À Louer,7 février 2020,1
"Sousse, Akouda",Terrains et Fermes,,,,,7 février 2020,82500
"Sousse, Autres villes",Maisons et Villas,1,1,90,À Louer,7 février 2020,0
"Sousse, Hergla",Maisons et Villas,4,3,381,À Vendre,7 février 2020,495000
"Sousse, Sousse Jawhara",Appartements,3,2,90,À Vendre,7 février 2020,250000
"Sousse, Sahloul",Appartements,3,1,70,À Louer,7 février 2020,500
"Sousse, Sahloul","Magasins, Commerces et Locaux industriels",1,2,80,À Vendre,7 février 2020,250000
"Sousse, Enfidha",Terrains et Fermes,,,,,7 février 2020,60000
"Sousse, Sousse Jawhara",Terrains et Fermes,,,,,7 février 2020,650
"Sousse, Akouda",Terrains et Fermes,,,,,7 février 2020,79000
"Sousse, Sahloul",Appartements,4,1,120,À Louer,7 février 2020,1
"Sousse, Autres villes",Terrains et Fermes,,,,,7 février 2020,90
"Sousse, Autres villes",Appartements,2,1,45,À Louer,7 février 2020,400
"Sousse, Sousse Jawhara",Maisons et Villas,3,1,570,À Vendre,7 février 2020,750000
"Sousse, Sousse Jawhara",Appartements,1,1,60,À Louer,7 février 2020,550
"Sousse, Autres villes",Appartements,3,2,220,À Louer,7 février 2020,820
"Sousse, Sahloul",Appartements,3,2,220,À Louer,7 février 2020,900
"Sousse, Sousse",Maisons et Villas,4,1,150,À Vendre,7 février 2020,250
"Sousse, Sousse Jawhara",Terrains et Fermes,,,,,7 février 2020,270000
"Sousse, Sousse Jawhara",Terrains et Fermes,,,,,7 février 2020,820000
"Sousse, Sousse Jawhara",Terrains et Fermes,,,,,7 février 2020,247000
"Sousse, Kalaâ Kebira",Terrains et Fermes,,,,,7 février 2020,130000
"Sousse, Sousse Jawhara",Maisons et Villas,5,3,600,À Vendre,7 février 2020,550000
"Sousse, Kalaâ Kebira",Terrains et Fermes,,,,,7 février 2020,380000
"Sousse, Sousse Jawhara",Terrains et Fermes,,,,,7 février 2020,500000
"Sousse, Hammam Sousse",Maisons et Villas,5,1,1,À Louer,7 février 2020,5
"Sousse, Akouda",Maisons et Villas,1,1,1,À Louer,7 février 2020,1800
"Sousse, Hergla",Terrains et Fermes,,,,,7 février 2020,45000
"Sousse, Sousse",Maisons et Villas,5,1,1,À Vendre,7 février 2020,390
"Sousse, Kantaoui",Appartements,1,1,1,À Louer,7 février 2020,94788011
"Sousse, Kalaâ Sghira",Terrains et Fermes,,,,,7 février 2020,102000
"Sousse, Akouda",Terrains et Fermes,,,,,7 février 2020,0
"Sousse, Sahloul",Maisons et Villas,4,1,1,À Louer,7 février 2020,900
"Sousse, Kantaoui",Maisons et Villas,2,1,1,À Louer,7 février 2020,450
"Sousse, Autres villes",Maisons et Villas,5,3,570,À Vendre,7 février 2020,750000
"Sousse, Autres villes",Bureaux et Plateaux,1,20,,À Louer,7 février 2020,300
"Sousse, Sahloul",Appartements,2,1,134,À Vendre,7 février 2020,270000
"Sousse, Sahloul",Appartements,2,1,90,À Vendre,7 février 2020,70000
"Sousse, Kalaâ Sghira",Terrains et Fermes,,,,,7 février 2020,60000
"Sousse, Kalaâ Sghira",Maisons et Villas,2,1,150,À Louer,7 février 2020,0
"Sousse, Hammam Sousse",Maisons et Villas,4,1,500,À Louer,7 février 2020,2100
"Sousse, Sahloul",Appartements,2,1,90,À Louer,7 février 2020,750
"Sousse, Hammam Sousse",Bureaux et Plateaux,1,1,200,À Louer,7 février 2020,900
"Sousse, Sousse Riadh",Appartements,2,1,50,À Louer,7 février 2020,0
"Sousse, Hammam Sousse","Magasins, Commerces et Locaux industriels",1,1,64,À Vendre,7 février 2020,0
"Sousse, Hammam Sousse",Bureaux et Plateaux,3,1,64,À Vendre,7 février 2020,140000
"Sousse, Bouficha",Terrains et Fermes,,,,,7 février 2020,900000
"Sousse, Autres villes",Terrains et Fermes,,,,,7 février 2020,210
"Sousse, Sousse",Locations de vacances,1,1,120,À Louer,7 février 2020,0
"Sousse, Sousse",Appartements,3,2,170,À Vendre,7 février 2020,520000
"Sousse, Sousse Médina","Magasins, Commerces et Locaux industriels",22,9,200,À Vendre,7 février 2020,630000
"Sousse, Sahloul",Maisons et Villas,5,2,300,À Vendre,7 février 2020,650000
"Sousse, Kalaâ Kebira",Terrains et Fermes,,,,,7 février 2020,350
"Sousse, Kantaoui",Appartements,2,1,93,À Vendre,7 février 2020,255
"Sousse, Sahloul",Appartements,2,1,100,À Louer,7 février 2020,450
"Sousse, Sousse Riadh",Terrains et Fermes,,,,,7 février 2020,236000
"Sousse, Autres villes",Locations de vacances,1,1,75,À Louer,7 février 2020,60
"Sousse, Autres villes",Terrains et Fermes,,,,,7 février 2020,0
"Sousse, Sousse",Bureaux et Plateaux,2,1,100,À Vendre,7 février 2020,3
"Sousse, Sousse",Appartements,3,1,400,À Vendre,7 février 2020,5
"Sousse, Autres villes",Appartements,2,1,80,À Louer,7 février 2020,750
"Sousse, Sahloul",Terrains et Fermes,,,,,7 février 2020,190000
"Sousse, Kalaâ Kebira",Terrains et Fermes,,,,,7 février 2020,480000
"Sousse, Sousse Jawhara",Appartements,2,1,95,À Louer,7 février 2020,450
"Sousse, Hammam Sousse",Appartements,2,1,100,À Louer,7 février 2020,550
"Sousse, Sahloul",Bureaux et Plateaux,1,2,15,À Louer,7 février 2020,400
"Sousse, Autres villes","Magasins, Commerces et Locaux industriels",1,1,350,À Louer,7 février 2020,700
"Sousse, Sahloul",Appartements,3,2,182,À Vendre,7 février 2020,380000
"Sousse, Sahloul",Locations de vacances,1,1,70,À Louer,7 février 2020,40
"Sousse, Sahloul",Appartements,1,1,62,À Louer,7 février 2020,750
"Sousse, Sousse",Appartements,8,4,270,À Vendre,7 février 2020,450000
"Sousse, Akouda",Appartements,3,2,145,À Vendre,7 février 2020,350000
"Sousse, Sahloul",Appartements,1,1,60,À Louer,7 février 2020,600
"Sousse, Sousse Riadh",Appartements,2,1,85,À Vendre,7 février 2020,90000
"Sousse, Sousse Jawhara",Terrains et Fermes,,,,,7 février 2020,377000
"Sousse, Hammam Sousse",Maisons et Villas,3,2,354,À Vendre,7 février 2020,520000
"Sousse, Kantaoui",Locations de vacances,2,1,80,À Louer,7 février 2020,70
"Sousse, Sahloul",Terrains et Fermes,,,,,7 février 2020,237000
"Sousse, Sousse Jawhara",Terrains et Fermes,,,,,7 février 2020,500000
"Sousse, Sousse Sidi Abdelhamid",Terrains et Fermes,,,,,7 février 2020,3204500
"Sousse, Sousse Riadh",Appartements,2,1,70,À Vendre,7 février 2020,0
"Sousse, Akouda","Magasins, Commerces et Locaux industriels",1,1,200,À Louer,7 février 2020,500
"Sousse, Akouda",Terrains et Fermes,,,,,7 février 2020,0
"Sousse, Zaouit-Ksibat Thrayett",Appartements,1,1,55,À Louer,7 février 2020,200
"Sousse, Akouda",Terrains et Fermes,,,,,7 février 2020,80000
"Sousse, Sahloul",Appartements,1,1,80,À Louer,7 février 2020,700
"Sousse, Sahloul",Terrains et Fermes,,,,,7 février 2020,450000
"Sousse, M'saken",Terrains et Fermes,,,,,7 février 2020,1
"Sousse, Autres villes",Maisons et Villas,4,1,260,À Vendre,7 février 2020,100000
"Sousse, Autres villes",Terrains et Fermes,,,,,7 février 2020,300
"Sousse, Sahloul",Appartements,2,1,100,À Vendre,7 février 2020,240000
"Sousse, Akouda",Appartements,1,1,52,À Vendre,7 février 2020,136000
"Sousse, Sousse Médina",Appartements,2,2,140,À Vendre,7 février 2020,280000
"Sousse, Sousse Riadh",Appartements,2,1,99,À Louer,7 février 2020,450
"Sousse, Sousse",Locations de vacances,1,1,80,À Louer,7 février 2020,60
"Sousse, Autres villes",Maisons et Villas,7,3,500,À Vendre,7 février 2020,850000
"Sousse, Sousse",Appartements,1,1,70,À Vendre,7 février 2020,155000
"Sousse, Sousse Jawhara",Maisons et Villas,3,1,100,À Vendre,7 février 2020,90000
"Sousse, Sousse",Locations de vacances,2,2,120,À Louer,7 février 2020,80
"Sousse, Hergla",Appartements,1,1,50,À Vendre,7 février 2020,115000
"Sousse, Sousse",Locations de vacances,1,1,80,À Louer,7 février 2020,60
"Sousse, Akouda",Appartements,1,1,100,À Louer,7 février 2020,0
"Sousse, Akouda",Terrains et Fermes,,,,,7 février 2020,0
"Sousse, Autres villes",Maisons et Villas,899,2,125,À Vendre,7 février 2020,250000
"Sousse, Akouda",Appartements,1,1,100,À Louer,7 février 2020,0
"Sousse, Enfidha",Terrains et Fermes,,,,,7 février 2020,0
"Sousse, Bouficha",Terrains et Fermes,,,,,7 février 2020,0
"Sousse, Bouficha",Terrains et Fermes,,,,,7 février 2020,0
"Sousse, Bouficha",Terrains et Fermes,,,,,7 février 2020,0
"Sousse, Bouficha",Terrains et Fermes,,,,,7 février 2020,0
"Sousse, Bouficha",Terrains et Fermes,,,,,7 février 2020,0
"Sousse, Bouficha",Terrains et Fermes,,,,,7 février 2020,0
"Sousse, Sousse Jawhara",Terrains et Fermes,,,,,7 février 2020,0
"Sousse, Bouficha",Terrains et Fermes,,,,,7 février 2020,0
"Sousse, Bouficha",Terrains et Fermes,,,,,7 février 2020,0
"Sousse, Bouficha",Terrains et Fermes,,,,,7 février 2020,0
"Sousse, Bouficha",Terrains et Fermes,,,,,7 février 2020,0
"Sousse, Bouficha",Terrains et Fermes,,,,,7 février 2020,0
"Sousse, Kantaoui",Terrains et Fermes,,,,,7 février 2020,0
"Sousse, Enfidha",Terrains et Fermes,,,,,7 février 2020,0
"Sousse, Bouficha",Terrains et Fermes,,,,,7 février 2020,0
"Sousse, Bouficha",Terrains et Fermes,,,,,7 février 2020,0
"Sousse, Bouficha",Terrains et Fermes,,,,,7 février 2020,0
"Sousse, Bouficha",Terrains et Fermes,,,,,7 février 2020,0
"Sousse, Akouda",Appartements,3,1,125,À Vendre,7 février 2020,330000
"Sousse, Sousse Jawhara",Appartements,1,1,80,À Louer,7 février 2020,750
"Sousse, Bouficha",Terrains et Fermes,,,,,7 février 2020,0
"Sousse, Bouficha",Terrains et Fermes,,,,,7 février 2020,0
"Sousse, Bouficha",Terrains et Fermes,,,,,7 février 2020,0
"Sousse, Enfidha",Terrains et Fermes,,,,,7 février 2020,0
"Sousse, Autres villes","Magasins, Commerces et Locaux industriels",1,1,90,À Vendre,7 février 2020,0
"Sousse, Hammam Sousse",Terrains et Fermes,,,,,7 février 2020,330000
"Sousse, Akouda",Terrains et Fermes,,,,,7 février 2020,300000
"Sousse, Kantaoui",Locations de vacances,1,1,40,À Louer,7 février 2020,60
"Sousse, Zaouit-Ksibat Thrayett",Maisons et Villas,3,1,234,À Vendre,7 février 2020,220
"Sousse, Sousse Riadh",Maisons et Villas,5,2,130,À Vendre,7 février 2020,250000
"Sousse, Sousse Riadh",Appartements,2,1,800,À Louer,7 février 2020,450
"Sousse, Kantaoui",Terrains et Fermes,,,,,7 février 2020,180
"Sousse, Sousse Médina",Appartements,2,1,100,À Louer,7 février 2020,1250
"Sousse, Autres villes",Appartements,1,1,75,À Louer,7 février 2020,350
"Sousse, Sousse Médina",Appartements,2,1,100,À Louer,7 février 2020,1150
"Sousse, Sousse","Magasins, Commerces et Locaux industriels",1,1,34,À Vendre,7 février 2020,32
"Sousse, Sahloul",Appartements,2,1,110,À Louer,7 février 2020,400
"Sousse, Sousse",Appartements,2,1,1,À Louer,6 février 2020,850
"Sousse, Kantaoui",Appartements,2,1,1,À Louer,6 février 2020,850
"Sousse, Sousse",Colocations,2,30,,À Louer,6 février 2020,0
"Sousse, Hammam Sousse",Appartements,2,1,130,À Louer,6 février 2020,550
"Sousse, Kantaoui",Appartements,1,1,34,À Vendre,6 février 2020,115
"Sousse, Autres villes",Maisons et Villas,4,195,,À Vendre,6 février 2020,0
"Sousse, Kalaâ Kebira",Terrains et Fermes,,,,,6 février 2020,27000
"Sousse, Autres villes","Magasins, Commerces et Locaux industriels",1,1,191,À Vendre,6 février 2020,10
"Sousse, Sousse Jawhara",Maisons et Villas,3,1,120,À Louer,6 février 2020,1
"Sousse, Kalaâ Sghira",Terrains et Fermes,,,,,6 février 2020,160000
"Sousse, Sahloul",Bureaux et Plateaux,2,1,93,À Vendre,6 février 2020,160000
"Sousse, Sousse Jawhara",Appartements,2,1,80,À Louer,6 février 2020,750
"Sousse, Sahloul",Appartements,2,1,130,À Louer,6 février 2020,800
"Sousse, Autres villes",Locations de vacances,2,1,110,À Louer,6 février 2020,60
"Sousse, Sousse Riadh",Appartements,2,1,130,À Louer,6 février 2020,650
"Sousse, Autres villes","Magasins, Commerces et Locaux industriels",1,1,0,À Louer,6 février 2020,0
"Sousse, Kalaâ Sghira",Terrains et Fermes,,,,,6 février 2020,0
"Sousse, Sahloul",Appartements,1,1,76,À Louer,6 février 2020,700
"Sousse, Sousse Médina",Appartements,2,1,100,À Louer,6 février 2020,1250
"Sousse, Sousse Riadh",Appartements,2,1,120,À Louer,6 février 2020,1100
"Sousse, Hammam Sousse",Maisons et Villas,6,2,135,À Vendre,6 février 2020,0
"Sousse, Sahloul",Appartements,3,1,110,À Vendre,6 février 2020,250000
"Sousse, Hammam Sousse",Appartements,2,1,121,À Vendre,6 février 2020,307360
"Sousse, Sousse",Terrains et Fermes,,,,,6 février 2020,220
"Sousse, Sousse",Terrains et Fermes,,,,,6 février 2020,1165000
"Sousse, Hammam Sousse",Terrains et Fermes,,,,,6 février 2020,1300000
"Sousse, Sahloul",Terrains et Fermes,,,,,6 février 2020,520000
"Sousse, Sousse",Bureaux et Plateaux,3,1,70,À Louer,6 février 2020,800
"Sousse, Sahloul",Maisons et Villas,2,1,120,À Louer,6 février 2020,400
"Sousse, Sahloul",Appartements,3,2,130,À Louer,6 février 2020,1300
"Sousse, Sahloul",Bureaux et Plateaux,2,1,85,À Louer,6 février 2020,850
"Sousse, Sousse Jawhara",Appartements,2,1,130,À Louer,6 février 2020,750
"Sousse, M'saken",Terrains et Fermes,,,,,6 février 2020,195
"Sousse, Hergla",Terrains et Fermes,,,,,6 février 2020,1440000
"Sousse, Sousse Jawhara",Appartements,3,1,125,À Louer,6 février 2020,1050
"Sousse, Sahloul",Appartements,3,2,156,À Vendre,6 février 2020,290000
"Sousse, Sahloul",Appartements,3,1,137,À Vendre,6 février 2020,260000
"Sousse, Zaouit-Ksibat Thrayett",Terrains et Fermes,,,,,6 février 2020,142000
"Sousse, Sahloul",Appartements,2,1,133,À Vendre,6 février 2020,247000
"Sousse, Akouda",Appartements,2,1,101,À Vendre,6 février 2020,220000
"Sousse, Sousse",Appartements,1,1,93,À Louer,6 février 2020,0
"Sousse, Sousse",Appartements,2,2,120,À Louer,6 février 2020,0
"Sousse, Sousse Jawhara",Appartements,2,1,119,À Louer,6 février 2020,0
"Sousse, Hammam Sousse",Terrains et Fermes,,,,,6 février 2020,30000
"Sousse, Sahloul","Magasins, Commerces et Locaux industriels",1,70,,À Louer,6 février 2020,1200
"Sousse, Sousse Sidi Abdelhamid","Magasins, Commerces et Locaux industriels",2,1,500,À Louer,6 février 2020,0
"Sousse, Sousse",Appartements,2,1,1,À Louer,6 février 2020,0
"Sousse, Sousse Médina",Bureaux et Plateaux,5,1,160,À Louer,6 février 2020,900
"Sousse, Autres villes",Appartements,2,1,120,À Louer,6 février 2020,1100
"Sousse, Autres villes",Appartements,1,1,70,À Louer,6 février 2020,750
"Sousse, Hammam Sousse",Terrains et Fermes,,,,,6 février 2020,133500
"Sousse, Hammam Sousse",Terrains et Fermes,,,,,6 février 2020,470000
"Sousse, Hammam Sousse",Appartements,2,1,140,À Vendre,6 février 2020,0
"Sousse, Sousse Riadh",Appartements,2,1,104,À Vendre,6 février 2020,212000
"Sousse, Autres villes",Appartements,3,1,220,À Louer,6 février 2020,600
"Sousse, Sousse","Magasins, Commerces et Locaux industriels",1,1,30,À Vendre,6 février 2020,25000
"Sousse, M'saken",Terrains et Fermes,,,,,6 février 2020,2100000
"Sousse, Hammam Sousse",Appartements,3,1,200,À Vendre,6 février 2020,670000
"Sousse, Kalaâ Sghira",Terrains et Fermes,,,,,6 février 2020,90000
"Sousse, Sahloul",Appartements,3,1,115,À Vendre,6 février 2020,340000
"Sousse, Sahloul",Maisons et Villas,10,5,435,À Vendre,6 février 2020,1400000
"Sousse, Sousse",Appartements,2,2,170,À Louer,6 février 2020,250000
"Sousse, Hammam Sousse",Terrains et Fermes,,,,,6 février 2020,0
"Sousse, M'saken",Terrains et Fermes,,,,,6 février 2020,320
"Sousse, M'saken",Appartements,4,1,270,À Louer,6 février 2020,450
"Sousse, Kantaoui",Maisons et Villas,3,3,200,À Louer,6 février 2020,1400
"Sousse, Hammam Sousse","Magasins, Commerces et Locaux industriels",6,1,500,À Louer,6 février 2020,0
"Sousse, Sahloul","Magasins, Commerces et Locaux industriels",1,1,70,À Vendre,6 février 2020,35000
"Sousse, Sahloul",Appartements,2,1,100,À Louer,6 février 2020,800
"Sousse, Sousse",Terrains et Fermes,,,,,6 février 2020,0
"Sousse, Akouda",Terrains et Fermes,,,,,6 février 2020,0
"Sousse, Sousse",Appartements,1,1,80,À Louer,6 février 2020,1000
"Sousse, Sahloul",Appartements,2,1,90,À Louer,6 février 2020,700
"Sousse, Sousse",Bureaux et Plateaux,3,1,1,À Louer,6 février 2020,800
"Sousse, M'saken",Terrains et Fermes,,,,,6 février 2020,250000
"Sousse, Kalaâ Kebira",Terrains et Fermes,,,,,6 février 2020,1
"Sousse, Sousse Médina",Appartements,2,1,56,À Louer,6 février 2020,300
"Sousse, Sahloul",Maisons et Villas,3,1,1,À Louer,5 février 2020,900
"Sousse, Sahloul",Maisons et Villas,3,1,1,À Louer,5 février 2020,600
"Sousse, Kantaoui",Appartements,1,1,70,À Louer,5 février 2020,1111
"Sousse, Bouficha",Maisons et Villas,2,1,112,À Vendre,5 février 2020,200
"Sousse, Autres villes","Magasins, Commerces et Locaux industriels",1,36,,À Vendre,5 février 2020,40
"Sousse, Sahloul",Maisons et Villas,3,2,352,À Vendre,5 février 2020,500
"Sousse, Sidi Bou Ali",Terrains et Fermes,,,,,5 février 2020,0
"Sousse, Hammam Sousse",Maisons et Villas,3,2,352,À Vendre,5 février 2020,500
"Sousse, Sousse Jawhara",Appartements,22,7,630,À Vendre,5 février 2020,1
"Sousse, Sousse","Magasins, Commerces et Locaux industriels",5,1,209,À Louer,5 février 2020,1
"Sousse, Sousse",Appartements,3,1,85,À Vendre,5 février 2020,0
"Sousse, Autres villes",Appartements,2,1,90,À Louer,5 février 2020,300
"Sousse, Sousse Médina",Appartements,2,1,120,À Louer,5 février 2020,1100
"Sousse, Sousse Médina",Appartements,1,1,70,À Louer,5 février 2020,750
"Sousse, Kalaâ Sghira",Maisons et Villas,3,1,1,À Vendre,5 février 2020,85000
"Sousse, Sousse Riadh",Appartements,2,1,72,À Vendre,5 février 2020,75
"Sousse, Akouda",Terrains et Fermes,,,,,5 février 2020,182000
"Sousse, Hergla",Locations de vacances,2,2,120,À Louer,5 février 2020,150
"Sousse, Sousse",Appartements,3,1,180,À Vendre,5 février 2020,450000
"Sousse, Zaouit-Ksibat Thrayett",Terrains et Fermes,,,,,5 février 2020,290
"Sousse, Hammam Sousse",Appartements,3,1,170,À Louer,5 février 2020,1600
"Sousse, Sousse Médina",Appartements,2,1,100,À Louer,5 février 2020,800
"Sousse, Zaouit-Ksibat Thrayett",Terrains et Fermes,,,,,5 février 2020,35
"Sousse, Sahloul",Appartements,2,1,85,À Louer,5 février 2020,450
"Sousse, Sousse",Appartements,3,1,161,À Vendre,5 février 2020,520000
"Sousse, Hammam Sousse",Terrains et Fermes,,,,,5 février 2020,221000
"Sousse, Sousse Jawhara",Appartements,2,1,140,À Vendre,5 février 2020,250000
"Sousse, Zaouit-Ksibat Thrayett","Magasins, Commerces et Locaux industriels",1,80,,À Louer,5 février 2020,500
"Sousse, Bouficha",Terrains et Fermes,,,,,5 février 2020,0
"Sousse, Bouficha",Terrains et Fermes,,,,,5 février 2020,0
"Sousse, Bouficha",Terrains et Fermes,,,,,5 février 2020,0
"Sousse, Bouficha",Terrains et Fermes,,,,,5 février 2020,0
"Sousse, Bouficha",Terrains et Fermes,,,,,5 février 2020,0
"Sousse, Bouficha",Terrains et Fermes,,,,,5 février 2020,0
"Sousse, Bouficha",Terrains et Fermes,,,,,5 février 2020,0
"Sousse, Hammam Sousse",Appartements,3,1,120,À Louer,5 février 2020,1200
"Sousse, Autres villes",Terrains et Fermes,,,,,5 février 2020,25000000
"Sousse, Sousse Jawhara",Terrains et Fermes,,,,,5 février 2020,280000
"Sousse, Sousse Jawhara",Terrains et Fermes,,,,,5 février 2020,702000
"Sousse, Hergla",Appartements,2,2,144,À Vendre,5 février 2020,230000
"Sousse, Hammam Sousse",Maisons et Villas,5,2,450,À Vendre,5 février 2020,1300000
"Sousse, Sousse Jawhara",Appartements,2,1,100,À Vendre,5 février 2020,300000
"Sousse, Sousse Jawhara",Appartements,1,1,70,À Louer,5 février 2020,700
"Sousse, Sahloul",Appartements,3,2,182,À Vendre,5 février 2020,380000
"Sousse, Sousse",Appartements,2,1,140,À Louer,5 février 2020,550
"Sousse, Hammam Sousse",Appartements,1,1,70,À Louer,5 février 2020,650
"Sousse, Autres villes",Appartements,2,1,120,À Louer,5 février 2020,1250
"Sousse, Hammam Sousse",Appartements,2,1,100,À Louer,5 février 2020,450
"Sousse, Hammam Sousse",Appartements,3,2,180,À Louer,5 février 2020,900
"Sousse, Kantaoui",Appartements,1,1,84,À Vendre,5 février 2020,310000
"Sousse, Sousse Jawhara",Appartements,2,2,93,À Vendre,5 février 2020,208000
"Sousse, Sahloul",Terrains et Fermes,,,,,5 février 2020,350000
"Sousse, Sahloul",Maisons et Villas,3,1,400,À Vendre,5 février 2020,580000
"Sousse, Sahloul",Appartements,3,2,149,À Louer,5 février 2020,1000
"Sousse, Sousse",Maisons et Villas,4,1,557,À Vendre,5 février 2020,710000
"Sousse, Hammam Sousse",Locations de vacances,2,2,120,À Louer,5 février 2020,120
"Sousse, Sahloul",Appartements,3,2,143,À Vendre,5 février 2020,317000
"Sousse, Hammam Sousse",Appartements,1,1,80,À Louer,5 février 2020,650
"Sousse, Sousse",Appartements,2,1,70,À Louer,5 février 2020,1
"Sousse, Autres villes",Maisons et Villas,4,2,341,À Vendre,5 février 2020,545
"Sousse, Sousse",Terrains et Fermes,,,,,5 février 2020,200000
"Sousse, Autres villes",Terrains et Fermes,,,,,5 février 2020,0
"Sousse, Hammam Sousse",Maisons et Villas,3,1,300,À Louer,5 février 2020,1200
"Sousse, Akouda",Bureaux et Plateaux,1,1,37,À Louer,5 février 2020,250
"Sousse, Sousse Jawhara",Maisons et Villas,2,1,50,À Louer,5 février 2020,220
"Sousse, Sousse Médina",Terrains et Fermes,,,,,5 février 2020,0
"Sousse, Sahloul",Appartements,3,85,,À Louer,5 février 2020,650
"Sousse, Autres villes",Maisons et Villas,2,1,1,À Louer,5 février 2020,260
"Sousse, Autres villes",Appartements,2,1,100,À Louer,5 février 2020,1100
"Sousse, Sousse Médina",Appartements,2,1,60,À Louer,4 février 2020,800
"Sousse, Zaouit-Ksibat Thrayett",Maisons et Villas,3,1,116,À Vendre,4 février 2020,150
"Sousse, Hammam Sousse",Appartements,70,1,70,À Louer,4 février 2020,750
"Sousse, Kalaâ Sghira",Terrains et Fermes,,,,,4 février 2020,130
"Sousse, Sousse Médina",Appartements,2,1,100,À Louer,4 février 2020,1150
"Sousse, Sousse Médina",Appartements,1,1,70,À Louer,4 février 2020,750
"Sousse, Hammam Sousse",Maisons et Villas,3,160,,À Vendre,4 février 2020,0
"Sousse, Sousse Sidi Abdelhamid",Terrains et Fermes,,,,,4 février 2020,30000
"Sousse, Sahloul",Maisons et Villas,4,336,,À Vendre,4 février 2020,650000
"Sousse, Hergla",Maisons et Villas,3,2,473,À Vendre,4 février 2020,425
"Sousse, Hammam Sousse",Appartements,2,1,85,À Louer,4 février 2020,800
"Sousse, Sousse Médina",Maisons et Villas,9,2,500,À Vendre,4 février 2020,500000
"Sousse, Kantaoui",Appartements,1,1,55,À Louer,4 février 2020,0
"Sousse, Sousse",Terrains et Fermes,,,,,4 février 2020,0
"Sousse, Sousse",Appartements,1,1,1,À Louer,4 février 2020,0
"Sousse, Kantaoui",Maisons et Villas,5,3,820,À Vendre,4 février 2020,20000000
"Sousse, Autres villes",Appartements,2,1,90,À Louer,4 février 2020,800
"Sousse, Hammam Sousse",Maisons et Villas,3,1,1,À Louer,4 février 2020,0
"Sousse, Hammam Sousse",Appartements,1,1,60,À Louer,4 février 2020,1000
"Sousse, Akouda",Appartements,1,1,50,À Louer,4 février 2020,1500
"Sousse, Sahloul",Appartements,2,1,80,À Louer,4 février 2020,550
"Sousse, Kantaoui",Terrains et Fermes,,,,,4 février 2020,1740000
"Sousse, Kantaoui",Maisons et Villas,5,4,450,À Vendre,4 février 2020,1300000
"Sousse, Autres villes",Terrains et Fermes,,,,,4 février 2020,0
